,row_doc,col_feature,tfidf_value
716,76,2135,0.242136497021
715,76,6469,0.325297616376
714,76,6475,0.496509168555
713,76,6860,0.383037371474
712,76,7419,0.243608945777
711,76,9950,0.356193779272
723,77,3498,0.586774357602
722,77,5351,0.488650814602
721,77,6135,0.390454433088
720,77,6736,0.36405953742
719,77,7041,0.363210990396
727,78,1003,0.234798456058
726,78,1036,0.639238511247
725,78,3200,0.369407183673
724,78,8223,0.632283277829
738,79,1674,0.347904461939
737,79,2445,0.431709176923
736,79,2492,0.233317922256
735,79,6455,0.251393018093
734,79,6469,0.243947145281
733,79,6476,0.300146528646
732,79,6477,0.3271236349
731,79,8801,0.207718100657
730,79,8804,0.300146528646
729,79,10160,0.156363166074
728,79,10175,0.400826347648
743,80,1003,0.215820808086
742,80,6956,0.322163334934
741,80,6959,0.498777272602
740,80,8238,0.483590959916
739,80,8241,0.605799620538
756,81,860,0.431320236081
755,81,1952,0.265888233637
754,81,1954,0.267052700885
753,81,3260,0.294807298855
752,81,4007,0.314453500096
751,81,4657,0.217107906208
750,81,5919,0.184066141255
749,81,6469,0.248766545907
748,81,6475,0.379698050815
747,81,7381,0.200182072277
746,81,7412,0.314453500096
745,81,7419,0.186296342003
744,81,10160,0.159452264492
761,82,1003,0.197748285791
760,82,2804,0.468181662747
759,82,4016,0.440184494191
758,82,4017,0.634733100177
757,82,8611,0.380858305341
768,83,1003,0.280884078188
767,83,1523,0.343877313204
766,83,2079,0.419989098041
765,83,2819,0.587208729978
764,83,5106,0.396895087115
763,83,6228,0.244596432083
762,83,7516,0.253563538949
774,84,6956,0.255258963449
773,84,8238,0.383162556928
772,84,8241,0.479991875017
771,84,10063,0.252040867842
770,84,10142,0.476867176365
769,84,10143,0.516439941821
777,85,860,0.616051437401
776,85,5794,0.542319859853
775,85,8300,0.571287839959
790,86,121,0.210928042329
789,86,222,0.231277772808
788,86,3761,0.689861417924
787,86,5157,0.22681688005
786,86,6135,0.173132331176
785,86,6303,0.282852570718
784,86,6880,0.188970432788
783,86,6906,0.265944086785
782,86,6956,0.144984550931
781,86,8830,0.177711770591
780,86,9433,0.244641916316
779,86,9600,0.179228354176
778,86,10160,0.116937391581
793,87,3780,0.528127271453
792,87,4657,0.729269072097
791,87,7799,0.43502667232
798,88,1198,0.38311102789
797,88,2400,0.380816793115
796,88,2403,0.554284797313
795,88,6362,0.497470108129
794,88,8092,0.391786121981
802,89,1003,0.289897773778
801,89,2551,0.492412559465
800,89,4028,0.54145509195
799,89,8576,0.616697280228
810,90,1865,0.221450192541
809,90,2357,0.348619286545
808,90,2358,0.349655267462
807,90,4962,0.305691846903
806,90,6576,0.210226055377
805,90,7799,0.285497622314
804,90,7805,0.493970751786
803,90,7806,0.493970751786
812,91,7446,0.713313667677
811,91,7799,0.70084492686
813,92,3780,1.0
817,93,1674,0.579634565949
816,93,4374,0.360475563702
815,93,6469,0.406433987311
814,93,6471,0.607365254101
829,94,1003,0.140461717223
828,94,3615,0.261470506458
827,94,3908,0.394269930452
826,94,4628,0.336444209639
825,94,6576,0.202283064574
824,94,6956,0.209672161144
823,94,6959,0.324617041531
822,94,7302,0.294642341912
821,94,7348,0.320621716831
820,94,7381,0.212308281719
819,94,7406,0.374353930359
818,94,7446,0.279598019221
834,95,1003,0.218161683728
833,95,6070,0.485624388699
832,95,7676,0.394677632819
831,95,8398,0.499190397729
830,95,8399,0.558223025162
843,96,3260,0.273543161633
842,96,3604,0.360885555968
841,96,3605,0.371129494172
840,96,7516,0.443734834328
839,96,7539,0.298937379234
838,96,8428,0.360885555968
837,96,9839,0.371129494172
836,96,10160,0.147951142078
835,96,10315,0.284727003429
